Id;Marker;X;Y;Z
0;0;0;0;1
1;0;0.707107;0;0.707107
2;0;1;0;0
3;0;0;0.707107;0.707107
4;0;0.707107;0.707107;0
5;0;0;1;0
6;0;0.270598;0.270598;0.92388
7;0;0.382683;0;0.92388
8;0;0;0.382683;0.92388
9;0;0.57735;0.57735;0.57735
10;0;0.92388;0.270598;0.270598
11;0;0.270598;0.92388;0.270598
12;0;0.92388;0;0.382683
13;0;0.92388;0.382683;0
14;0;0.382683;0.92388;0
15;0;0;0.92388;0.382683
16;0;-0.707107;0;0.707107
17;0;-0.707107;0.707107;0
18;0;-1;0;0
19;0;-0.270598;0.270598;0.92388
20;0;-0.382683;0;0.92388
21;0;-0.57735;0.57735;0.57735
22;0;-0.270598;0.92388;0.270598
23;0;-0.92388;0.270598;0.270598
24;0;-0.382683;0.92388;0
25;0;-0.92388;0.382683;0
26;0;-0.92388;0;0.382683
27;0;0;-0.707107;0.707107
28;0;-0.707107;-0.707107;0
29;0;0;-1;0
30;0;-0.270598;-0.270598;0.92388
31;0;0;-0.382683;0.92388
32;0;-0.57735;-0.57735;0.57735
33;0;-0.92388;-0.270598;0.270598
34;0;-0.270598;-0.92388;0.270598
35;0;-0.92388;-0.382683;0
36;0;-0.382683;-0.92388;0
37;0;0;-0.92388;0.382683
38;0;0.707107;-0.707107;0
39;0;0.270598;-0.270598;0.92388
40;0;0.57735;-0.57735;0.57735
41;0;0.270598;-0.92388;0.270598
42;0;0.92388;-0.270598;0.270598
43;0;0.382683;-0.92388;0
44;0;0.92388;-0.382683;0
45;0;0;0;-1
46;0;0;0.707107;-0.707107
47;0;0.707107;0;-0.707107
48;0;0.270598;0.270598;-0.92388
49;0;0;0.382683;-0.92388
50;0;0.382683;0;-0.92388
51;0;0.57735;0.57735;-0.57735
52;0;0.270598;0.92388;-0.270598
53;0;0.92388;0.270598;-0.270598
54;0;0;0.92388;-0.382683
55;0;0.92388;0;-0.382683
56;0;-0.707107;0;-0.707107
57;0;-0.270598;0.270598;-0.92388
58;0;-0.382683;0;-0.92388
59;0;-0.57735;0.57735;-0.57735
60;0;-0.92388;0.270598;-0.270598
61;0;-0.270598;0.92388;-0.270598
62;0;-0.92388;0;-0.382683
63;0;0;-0.707107;-0.707107
64;0;-0.270598;-0.270598;-0.92388
65;0;0;-0.382683;-0.92388
66;0;-0.57735;-0.57735;-0.57735
67;0;-0.270598;-0.92388;-0.270598
68;0;-0.92388;-0.270598;-0.270598
69;0;0;-0.92388;-0.382683
70;0;0.270598;-0.270598;-0.92388
71;0;0.57735;-0.57735;-0.57735
72;0;0.92388;-0.270598;-0.270598
73;0;0.270598;-0.92388;-0.270598
