Id;Marker;Origine;Fine
0;0;0;6
1;0;0;19
2;0;0;30
3;0;0;39
4;0;1;6
5;0;1;9
6;0;1;10
7;0;1;39
8;0;1;40
9;0;2;10
10;0;2;42
11;0;2;53
12;0;2;72
13;0;3;6
14;0;3;9
15;0;3;19
16;0;3;21
17;0;3;22
18;0;4;9
19;0;4;11
20;0;4;51
21;0;4;53
22;0;5;11
23;0;5;22
24;0;5;52
25;0;5;61
26;0;6;7
27;0;6;8
28;0;7;0
29;0;7;1
30;0;8;0
31;0;8;3
32;0;9;6
33;0;10;4
34;0;10;9
35;0;10;12
36;0;10;13
37;0;11;3
38;0;11;9
39;0;11;14
40;0;11;15
41;0;12;1
42;0;12;2
43;0;13;2
44;0;13;4
45;0;14;4
46;0;14;5
47;0;15;3
48;0;15;5
49;0;16;19
50;0;16;21
51;0;16;30
52;0;16;32
53;0;16;33
54;0;17;21
55;0;17;23
56;0;17;59
57;0;17;61
58;0;18;23
59;0;18;33
60;0;18;60
61;0;18;68
62;0;19;8
63;0;19;20
64;0;20;0
65;0;20;16
66;0;21;19
67;0;22;15
68;0;22;17
69;0;22;21
70;0;22;24
71;0;23;16
72;0;23;21
73;0;23;25
74;0;23;26
75;0;24;5
76;0;24;17
77;0;25;17
78;0;25;18
79;0;26;16
80;0;26;18
81;0;27;30
82;0;27;32
83;0;27;39
84;0;27;40
85;0;27;41
86;0;28;32
87;0;28;34
88;0;28;66
89;0;28;68
90;0;29;34
91;0;29;41
92;0;29;67
93;0;29;73
94;0;30;20
95;0;30;31
96;0;31;0
97;0;31;27
98;0;32;30
99;0;33;26
100;0;33;28
101;0;33;32
102;0;33;35
103;0;34;27
104;0;34;32
105;0;34;36
106;0;34;37
107;0;35;18
108;0;35;28
109;0;36;28
110;0;36;29
111;0;37;27
112;0;37;29
113;0;38;40
114;0;38;42
115;0;38;71
116;0;38;73
117;0;39;7
118;0;39;31
119;0;40;39
120;0;41;37
121;0;41;38
122;0;41;40
123;0;41;43
124;0;42;1
125;0;42;12
126;0;42;40
127;0;42;44
128;0;43;29
129;0;43;38
130;0;44;2
131;0;44;38
132;0;45;48
133;0;45;57
134;0;45;64
135;0;45;70
136;0;46;48
137;0;46;51
138;0;46;52
139;0;46;57
140;0;46;59
141;0;47;48
142;0;47;51
143;0;47;70
144;0;47;71
145;0;47;72
146;0;48;49
147;0;48;50
148;0;49;45
149;0;49;46
150;0;50;45
151;0;50;47
152;0;51;48
153;0;52;4
154;0;52;14
155;0;52;51
156;0;52;54
157;0;53;13
158;0;53;47
159;0;53;51
160;0;53;55
161;0;54;5
162;0;54;46
163;0;55;2
164;0;55;47
165;0;56;57
166;0;56;59
167;0;56;60
168;0;56;64
169;0;56;66
170;0;57;49
171;0;57;58
172;0;58;45
173;0;58;56
174;0;59;57
175;0;60;17
176;0;60;25
177;0;60;59
178;0;60;62
179;0;61;24
180;0;61;46
181;0;61;54
182;0;61;59
183;0;62;18
184;0;62;56
185;0;63;64
186;0;63;66
187;0;63;67
188;0;63;70
189;0;63;71
190;0;64;58
191;0;64;65
192;0;65;45
193;0;65;63
194;0;66;64
195;0;67;28
196;0;67;36
197;0;67;66
198;0;67;69
199;0;68;35
200;0;68;56
201;0;68;62
202;0;68;66
203;0;69;29
204;0;69;63
205;0;70;50
206;0;70;65
207;0;71;70
208;0;72;38
209;0;72;44
210;0;72;55
211;0;72;71
212;0;73;43
213;0;73;63
214;0;73;69
215;0;73;71
