Id;Marker;X;Y;Z
0;0;0.222641;0.092221;0.970529
1;0;0.467954;0.0930818;0.878837
2;0;0.092221;0.222641;0.970529
3;0;0.0930818;0.467954;0.878837
4;0;0.549316;0.299534;0.780084
5;0;0.780084;0.299534;0.549316
6;0;0.780084;0.549316;0.299534
7;0;0.549316;0.780084;0.299534
8;0;0.299534;0.780084;0.549316
9;0;0.299534;0.549316;0.780084
10;0;0.878837;0.0930818;0.467954
11;0;0.970529;0.092221;0.222641
12;0;0.970529;0.222641;0.092221
13;0;0.878837;0.467954;0.0930818
14;0;0.467954;0.878837;0.0930818
15;0;0.222641;0.970529;0.092221
16;0;0.0930818;0.878837;0.467954
17;0;0.092221;0.970529;0.222641
18;0;-0.092221;0.222641;0.970529
19;0;-0.0930818;0.467954;0.878837
20;0;-0.222641;0.092221;0.970529
21;0;-0.467954;0.0930818;0.878837
22;0;-0.299534;0.549316;0.780084
23;0;-0.299534;0.780084;0.549316
24;0;-0.549316;0.780084;0.299534
25;0;-0.780084;0.549316;0.299534
26;0;-0.780084;0.299534;0.549316
27;0;-0.549316;0.299534;0.780084
28;0;-0.0930818;0.878837;0.467954
29;0;-0.092221;0.970529;0.222641
30;0;-0.222641;0.970529;0.092221
31;0;-0.467954;0.878837;0.0930818
32;0;-0.878837;0.467954;0.0930818
33;0;-0.970529;0.222641;0.092221
34;0;-0.878837;0.0930818;0.467954
35;0;-0.970529;0.092221;0.222641
36;0;-0.222641;-0.092221;0.970529
37;0;-0.467954;-0.0930818;0.878837
38;0;-0.092221;-0.222641;0.970529
39;0;-0.0930818;-0.467954;0.878837
40;0;-0.549316;-0.299534;0.780084
41;0;-0.780084;-0.299534;0.549316
42;0;-0.780084;-0.549316;0.299534
43;0;-0.549316;-0.780084;0.299534
44;0;-0.299534;-0.780084;0.549316
45;0;-0.299534;-0.549316;0.780084
46;0;-0.878837;-0.0930818;0.467954
47;0;-0.970529;-0.092221;0.222641
48;0;-0.970529;-0.222641;0.092221
49;0;-0.878837;-0.467954;0.0930818
50;0;-0.467954;-0.878837;0.0930818
51;0;-0.222641;-0.970529;0.092221
52;0;-0.0930818;-0.878837;0.467954
53;0;-0.092221;-0.970529;0.222641
54;0;0.092221;-0.222641;0.970529
55;0;0.0930818;-0.467954;0.878837
56;0;0.222641;-0.092221;0.970529
57;0;0.467954;-0.0930818;0.878837
58;0;0.299534;-0.549316;0.780084
59;0;0.299534;-0.780084;0.549316
60;0;0.549316;-0.780084;0.299534
61;0;0.780084;-0.549316;0.299534
62;0;0.780084;-0.299534;0.549316
63;0;0.549316;-0.299534;0.780084
64;0;0.0930818;-0.878837;0.467954
65;0;0.092221;-0.970529;0.222641
66;0;0.222641;-0.970529;0.092221
67;0;0.467954;-0.878837;0.0930818
68;0;0.878837;-0.467954;0.0930818
