Id;Marker;Origine;Fine
0;0;0;1
1;0;0;2
2;0;1;4
3;0;2;18
4;0;3;2
5;0;3;9
6;0;4;5
7;0;4;9
8;0;5;6
9;0;5;10
10;0;6;7
11;0;7;8
12;0;7;14
13;0;8;16
14;0;9;8
15;0;10;70
16;0;11;10
17;0;11;12
18;0;12;87
19;0;13;6
20;0;13;12
21;0;14;85
22;0;15;14
23;0;15;17
24;0;16;17
25;0;16;28
26;0;17;29
27;0;18;20
28;0;19;3
29;0;19;18
30;0;20;36
31;0;21;20
32;0;21;27
33;0;22;19
34;0;22;27
35;0;23;22
36;0;23;24
37;0;24;25
38;0;25;26
39;0;25;32
40;0;26;34
41;0;27;26
42;0;28;23
43;0;29;28
44;0;29;30
45;0;30;105
46;0;31;24
47;0;31;30
48;0;32;103
49;0;33;32
50;0;33;35
51;0;34;35
52;0;34;46
53;0;35;47
54;0;36;38
55;0;37;21
56;0;37;36
57;0;38;54
58;0;39;38
59;0;39;45
60;0;40;37
61;0;40;45
62;0;41;40
63;0;41;42
64;0;42;43
65;0;43;44
66;0;43;50
67;0;44;52
68;0;45;44
69;0;46;41
70;0;47;46
71;0;47;48
72;0;48;123
73;0;49;42
74;0;49;48
75;0;50;121
76;0;51;50
77;0;51;53
78;0;52;53
79;0;52;64
80;0;53;65
81;0;54;56
82;0;55;39
83;0;55;54
84;0;56;0
85;0;57;1
86;0;57;56
87;0;58;55
88;0;58;63
89;0;59;58
90;0;59;60
91;0;60;61
92;0;61;62
93;0;61;68
94;0;62;63
95;0;63;57
96;0;64;59
97;0;65;64
98;0;65;66
99;0;66;141
100;0;67;60
101;0;67;66
102;0;68;139
103;0;69;68
104;0;69;71
105;0;70;62
106;0;71;11
107;0;71;70
108;0;72;73
109;0;72;74
110;0;73;76
111;0;74;126
112;0;75;74
113;0;75;81
114;0;76;77
115;0;76;81
116;0;77;78
117;0;77;82
118;0;78;79
119;0;79;80
120;0;79;86
121;0;80;88
122;0;81;80
123;0;82;106
124;0;83;82
125;0;83;84
126;0;84;15
127;0;84;85
128;0;85;78
129;0;86;13
130;0;86;87
131;0;87;89
132;0;88;89
133;0;88;136
134;0;89;137
135;0;90;91
136;0;90;92
137;0;91;94
138;0;92;72
139;0;93;73
140;0;93;92
141;0;94;95
142;0;94;99
143;0;95;96
144;0;95;100
145;0;96;97
146;0;97;98
147;0;97;104
148;0;98;99
149;0;99;93
150;0;100;124
151;0;101;100
152;0;101;102
153;0;102;33
154;0;102;103
155;0;103;96
156;0;104;31
157;0;104;105
158;0;105;107
159;0;106;98
160;0;107;83
161;0;107;106
162;0;108;109
163;0;108;110
164;0;109;112
165;0;110;90
166;0;111;91
167;0;111;110
168;0;112;113
169;0;112;117
170;0;113;114
171;0;113;118
172;0;114;115
173;0;115;116
174;0;115;122
175;0;116;117
176;0;117;111
177;0;118;142
178;0;119;118
179;0;119;120
180;0;120;51
181;0;120;121
182;0;121;114
183;0;122;49
184;0;122;123
185;0;123;125
186;0;124;116
187;0;125;101
188;0;125;124
189;0;126;128
190;0;127;75
191;0;127;126
192;0;128;108
193;0;129;109
194;0;129;128
195;0;130;127
196;0;130;135
197;0;131;130
198;0;131;132
199;0;132;133
200;0;133;134
201;0;133;140
202;0;134;135
203;0;135;129
204;0;136;131
205;0;137;136
206;0;137;138
207;0;138;69
208;0;138;139
209;0;139;132
210;0;140;67
211;0;140;141
212;0;141;143
213;0;142;134
214;0;143;119
215;0;143;142
